,circle,kpi,periodicity,range,period_year,period_month,date,value
46,Digital,additional monetization/savings from CRM,quarter,0 <= X,2017,12,2017-12-01,11827.15
47,Digital,additional monetization/savings from CRM,quarter,0 <= X,2017,12,2017-12-01,11827.15
48,Digital,additional monetization/savings from CRM,quarter,0 <= X,2018,3,2018-03-01,32546.24
49,Digital,additional monetization/savings from CRM,quarter,0 <= X,2018,3,2018-03-01,32546.24
50,Digital,additional monetization/savings from CRM,quarter,0 <= X,2018,3,2018-03-01,32546.24
51,Digital,additional monetization/savings from CRM,quarter,0 <= X,2018,6,2018-06-01,87600.48
52,Digital,additional monetization/savings from CRM,quarter,0 <= X,2018,6,2018-06-01,87600.48
53,Digital,additional monetization/savings from CRM,quarter,0 <= X,2018,6,2018-06-01,87600.48
54,Digital,additional monetization/savings from CRM,quarter,0 <= X,2018,9,2018-09-01,79378.54
55,Digital,additional monetization/savings from CRM,quarter,0 <= X,2018,9,2018-09-01,79378.54
56,Digital,additional monetization/savings from CRM,quarter,0 <= X,2018,9,2018-09-01,79378.54
57,Digital,additional monetization/savings from CRM,quarter,0 <= X,2018,12,2018-12-01,2407.76
58,Digital,additional monetization/savings from CRM,quarter,0 <= X,2018,12,2018-12-01,2407.76
59,Digital,additional monetization/savings from CRM,quarter,0 <= X,2018,12,2018-12-01,2407.76
60,Digital,additional monetization/savings from CRM,quarter,0 <= X,2019,3,2019-03-01,35922.06
61,Digital,additional monetization/savings from CRM,quarter,0 <= X,2019,3,2019-03-01,35922.06
62,Digital,additional monetization/savings from CRM,quarter,0 <= X,2019,3,2019-03-01,35922.06
63,Digital,additional monetization/savings from CRM,quarter,0 <= X,2019,6,2019-06-01,14883.89
64,Digital,additional monetization/savings from CRM,quarter,0 <= X,2019,6,2019-06-01,14883.89
65,Digital,additional monetization/savings from CRM,quarter,0 <= X,2019,6,2019-06-01,14883.89
66,Digital,additional monetization/savings from CRM,quarter,0 <= X,2019,9,2019-09-01,19893.39
67,Digital,additional monetization/savings from CRM,quarter,0 <= X,2019,9,2019-09-01,19893.39
68,Digital,additional monetization/savings from CRM,quarter,0 <= X,2019,9,2019-09-01,19893.39
69,Digital,additional monetization/savings from CRM,quarter,0 <= X,2019,12,2019-12-01,31170.31
70,Digital,additional monetization/savings from CRM,quarter,0 <= X,2019,12,2019-12-01,31170.31
71,Digital,additional monetization/savings from CRM,quarter,0 <= X,2019,12,2019-12-01,31170.31
72,Digital,additional monetization/savings from CRM,quarter,0 <= X,2020,3,2020-03-01,29323.87
73,Digital,additional monetization/savings from CRM,quarter,0 <= X,2020,3,2020-03-01,29323.87
74,Digital,additional monetization/savings from CRM,quarter,0 <= X,2020,3,2020-03-01,29323.87
75,Digital,additional monetization/savings from CRM,quarter,0 <= X,2020,6,2020-06-01,2460.47
76,Digital,additional monetization/savings from CRM,quarter,0 <= X,2020,6,2020-06-01,2460.47
77,Digital,additional monetization/savings from CRM,quarter,0 <= X,2020,6,2020-06-01,2460.47
78,Digital,additional monetization/savings from CRM,quarter,0 <= X,2020,9,2020-09-01,2560.64
79,Digital,additional monetization/savings from CRM,quarter,0 <= X,2020,9,2020-09-01,2560.64
80,Digital,additional monetization/savings from CRM,quarter,0 <= X,2020,9,2020-09-01,2560.64
81,Digital,additional monetization/savings from CRM,quarter,0 <= X,2020,12,2020-12-01,8221.02
82,Digital,additional monetization/savings from CRM,quarter,0 <= X,2020,12,2020-12-01,8221.02
83,Digital,additional monetization/savings from CRM,quarter,0 <= X,2020,12,2020-12-01,8221.02
84,Digital,additional monetization/savings from CRM,quarter,0 <= X,2021,3,2021-03-01,37724.41
85,Digital,additional monetization/savings from CRM,quarter,0 <= X,2021,3,2021-03-01,37724.41
86,Digital,additional monetization/savings from CRM,quarter,0 <= X,2021,3,2021-03-01,37724.41
87,Digital,additional monetization/savings from CRM,quarter,0 <= X,2021,6,2021-06-01,6875.3
88,Digital,additional monetization/savings from CRM,quarter,0 <= X,2021,6,2021-06-01,6875.3
89,Digital,additional monetization/savings from CRM,quarter,0 <= X,2021,6,2021-06-01,6875.3
90,Digital,additional monetization/savings from CRM,quarter,0 <= X,2021,9,2021-09-01,20207.81
91,Digital,additional monetization/savings from CRM,quarter,0 <= X,2021,9,2021-09-01,20207.81
92,Digital,additional monetization/savings from CRM,quarter,0 <= X,2021,9,2021-09-01,20207.81
93,Digital,additional monetization/savings from CRM,quarter,0 <= X,2021,12,2021-12-01,7784.45
94,Digital,additional monetization/savings from CRM,quarter,0 <= X,2021,12,2021-12-01,7784.45
95,Digital,additional monetization/savings from CRM,quarter,0 <= X,2021,12,2021-12-01,7784.45
96,Digital,additional monetization/savings from CRM,quarter,0 <= X,2022,3,2022-03-01,25708.78
97,Digital,additional monetization/savings from CRM,quarter,0 <= X,2022,3,2022-03-01,25708.78
98,Digital,additional monetization/savings from CRM,quarter,0 <= X,2022,3,2022-03-01,25708.78
99,Digital,additional monetization/savings from CRM,quarter,0 <= X,2022,6,2022-06-01,7921.44
100,Digital,additional monetization/savings from CRM,quarter,0 <= X,2022,6,2022-06-01,7921.44
101,Digital,additional monetization/savings from CRM,quarter,0 <= X,2022,6,2022-06-01,7921.44
102,Digital,additional monetization/savings from CRM,quarter,0 <= X,2022,9,2022-09-01,16816.78
103,Digital,additional monetization/savings from CRM,quarter,0 <= X,2022,9,2022-09-01,16816.78
104,Digital,additional monetization/savings from CRM,quarter,0 <= X,2022,9,2022-09-01,16816.78
105,Digital,additional monetization/savings from CRM,quarter,0 <= X,2022,12,2022-12-01,8355.05
106,Digital,additional monetization/savings from CRM,quarter,0 <= X,2022,12,2022-12-01,8355.05
107,Digital,additional monetization/savings from CRM,quarter,0 <= X,2022,12,2022-12-01,8355.05
108,Digital,additional monetization/savings from CRM,quarter,0 <= X,2023,3,2023-03-01,51000.0
109,Digital,additional monetization/savings from CRM,quarter,0 <= X,2023,3,2023-03-01,51000.0
110,Digital,additional monetization/savings from CRM,quarter,0 <= X,2023,3,2023-03-01,51000.0
111,Digital,additional monetization/savings from CRM,quarter,0 <= X,2023,6,2023-06-01,0.0
112,Digital,additional monetization/savings from CRM,quarter,0 <= X,2023,6,2023-06-01,0.0
113,Digital,additional monetization/savings from CRM,quarter,0 <= X,2023,6,2023-06-01,0.0
114,Digital,additional monetization/savings from CRM,quarter,0 <= X,2023,9,2023-09-01,0.0
115,Digital,additional monetization/savings from CRM,quarter,0 <= X,2023,9,2023-09-01,0.0
116,Digital,additional monetization/savings from CRM,quarter,0 <= X,2023,9,2023-09-01,0.0
117,Digital,additional monetization/savings from CRM,quarter,0 <= X,2023,12,2023-12-01,17000.0
118,Digital,additional monetization/savings from CRM,quarter,0 <= X,2023,12,2023-12-01,17000.0
119,Digital,additional monetization/savings from CRM,quarter,0 <= X,2023,12,2023-12-01,17000.0
120,Fundraising,private donations,month,0 <= X,2014,1,2014-01-01,248384.0
121,Fundraising,private donations,month,0 <= X,2014,2,2014-02-01,677356.61
122,Fundraising,private donations,month,0 <= X,2014,3,2014-03-01,437920.52
123,Fundraising,private donations,month,0 <= X,2014,4,2014-04-01,339549.48
124,Fundraising,private donations,month,0 <= X,2014,5,2014-05-01,336036.85
125,Fundraising,private donations,month,0 <= X,2014,6,2014-06-01,361332.68
126,Fundraising,private donations,month,0 <= X,2014,7,2014-07-01,395194.1
127,Fundraising,private donations,month,0 <= X,2014,8,2014-08-01,315559.73
128,Fundraising,private donations,month,0 <= X,2014,9,2014-09-01,547618.08
129,Fundraising,private donations,month,0 <= X,2014,10,2014-10-01,473700.13
130,Fundraising,private donations,month,0 <= X,2014,11,2014-11-01,630728.84
131,Fundraising,private donations,month,0 <= X,2014,12,2014-12-01,830603.19
132,Fundraising,private donations,month,0 <= X,2015,1,2015-01-01,311620.55
133,Fundraising,private donations,month,0 <= X,2015,2,2015-02-01,281133.04
134,Fundraising,private donations,month,0 <= X,2015,3,2015-03-01,779006.49
135,Fundraising,private donations,month,0 <= X,2015,4,2015-04-01,404485.34
136,Fundraising,private donations,month,0 <= X,2015,5,2015-05-01,280793.16
137,Fundraising,private donations,month,0 <= X,2015,6,2015-06-01,467833.3
138,Fundraising,private donations,month,0 <= X,2015,7,2015-07-01,452400.01
139,Fundraising,private donations,month,0 <= X,2015,8,2015-08-01,383833.33
140,Fundraising,private donations,month,0 <= X,2015,9,2015-09-01,494820.82
141,Fundraising,private donations,month,0 <= X,2015,10,2015-10-01,458280.19
142,Fundraising,private donations,month,0 <= X,2015,11,2015-11-01,737379.01
143,Fundraising,private donations,month,0 <= X,2015,12,2015-12-01,1244525.47
144,Fundraising,private donations,month,0 <= X,2016,1,2016-01-01,457134.1
145,Fundraising,private donations,month,0 <= X,2016,2,2016-02-01,545421.58
146,Fundraising,private donations,month,0 <= X,2016,3,2016-03-01,578795.07
147,Fundraising,private donations,month,0 <= X,2016,4,2016-04-01,524063.85
148,Fundraising,private donations,month,0 <= X,2016,5,2016-05-01,448401.8
149,Fundraising,private donations,month,0 <= X,2016,6,2016-06-01,499725.32
150,Fundraising,private donations,month,0 <= X,2016,7,2016-07-01,387578.22
151,Fundraising,private donations,month,0 <= X,2016,8,2016-08-01,922212.18
152,Fundraising,private donations,month,0 <= X,2016,9,2016-09-01,597703.78
153,Fundraising,private donations,month,0 <= X,2016,10,2016-10-01,469153.72
154,Fundraising,private donations,month,0 <= X,2016,11,2016-11-01,695197.98
155,Fundraising,private donations,month,0 <= X,2016,12,2016-12-01,1043989.41
156,Fundraising,private donations,month,0 <= X,2017,1,2017-01-01,499464.98
157,Fundraising,private donations,month,0 <= X,2017,2,2017-02-01,470967.3
158,Fundraising,private donations,month,0 <= X,2017,3,2017-03-01,642704.42
159,Fundraising,private donations,month,0 <= X,2017,4,2017-04-01,495108.93
160,Fundraising,private donations,month,0 <= X,2017,5,2017-05-01,554637.19
161,Fundraising,private donations,month,0 <= X,2017,6,2017-06-01,556835.67
162,Fundraising,private donations,month,0 <= X,2017,7,2017-07-01,472386.83
163,Fundraising,private donations,month,0 <= X,2017,8,2017-08-01,481426.88
164,Fundraising,private donations,month,0 <= X,2017,9,2017-09-01,422727.53
165,Fundraising,private donations,month,0 <= X,2017,10,2017-10-01,655384.08
166,Fundraising,private donations,month,0 <= X,2017,11,2017-11-01,889252.6
167,Fundraising,private donations,month,0 <= X,2017,12,2017-12-01,1057538.96
168,Fundraising,private donations,month,0 <= X,2018,1,2018-01-01,528105.38
169,Fundraising,private donations,month,0 <= X,2018,2,2018-02-01,515486.75
170,Fundraising,private donations,month,0 <= X,2018,3,2018-03-01,712077.5
171,Fundraising,private donations,month,0 <= X,2018,4,2018-04-01,398698.29
172,Fundraising,private donations,month,0 <= X,2018,5,2018-05-01,491801.94
173,Fundraising,private donations,month,0 <= X,2018,6,2018-06-01,629391.05
174,Fundraising,private donations,month,0 <= X,2018,7,2018-07-01,573759.96
175,Fundraising,private donations,month,0 <= X,2018,8,2018-08-01,508156.9
176,Fundraising,private donations,month,0 <= X,2018,9,2018-09-01,480953.95
177,Fundraising,private donations,month,0 <= X,2018,10,2018-10-01,610756.69
178,Fundraising,private donations,month,0 <= X,2018,11,2018-11-01,847334.21
179,Fundraising,private donations,month,0 <= X,2018,12,2018-12-01,955619.88
180,Fundraising,private donations,month,0 <= X,2019,1,2019-01-01,403683.34
181,Fundraising,private donations,month,0 <= X,2019,2,2019-02-01,542764.72
182,Fundraising,private donations,month,0 <= X,2019,3,2019-03-01,671239.48
183,Fundraising,private donations,month,0 <= X,2019,4,2019-04-01,730153.95
184,Fundraising,private donations,month,0 <= X,2019,5,2019-05-01,608587.17
185,Fundraising,private donations,month,0 <= X,2019,6,2019-06-01,686389.26
186,Fundraising,private donations,month,0 <= X,2019,7,2019-07-01,581299.07
187,Fundraising,private donations,month,0 <= X,2019,8,2019-08-01,345412.79
188,Fundraising,private donations,month,0 <= X,2019,9,2019-09-01,552597.48
189,Fundraising,private donations,month,0 <= X,2019,10,2019-10-01,630429.67
190,Fundraising,private donations,month,0 <= X,2019,11,2019-11-01,688423.3
191,Fundraising,private donations,month,0 <= X,2019,12,2019-12-01,1023822.23
192,Fundraising,private donations,month,0 <= X,2020,1,2020-01-01,732466.7
193,Fundraising,private donations,month,0 <= X,2020,2,2020-02-01,492574.38
194,Fundraising,private donations,month,0 <= X,2020,3,2020-03-01,649089.67
195,Fundraising,private donations,month,0 <= X,2020,4,2020-04-01,867329.92
196,Fundraising,private donations,month,0 <= X,2020,5,2020-05-01,611297.14
197,Fundraising,private donations,month,0 <= X,2020,6,2020-06-01,764911.91
198,Fundraising,private donations,month,0 <= X,2020,7,2020-07-01,751010.67
199,Fundraising,private donations,month,0 <= X,2020,8,2020-08-01,686545.58
200,Fundraising,private donations,month,0 <= X,2020,9,2020-09-01,622383.36
201,Fundraising,private donations,month,0 <= X,2020,10,2020-10-01,851297.01
202,Fundraising,private donations,month,0 <= X,2020,11,2020-11-01,793025.53
203,Fundraising,private donations,month,0 <= X,2020,12,2020-12-01,1856876.38
204,Fundraising,private donations,month,0 <= X,2021,1,2021-01-01,592686.59
205,Fundraising,private donations,month,0 <= X,2021,2,2021-02-01,670148.58
206,Fundraising,private donations,month,0 <= X,2021,3,2021-03-01,826549.89
207,Fundraising,private donations,month,0 <= X,2021,4,2021-04-01,862933.55
208,Fundraising,private donations,month,0 <= X,2021,5,2021-05-01,690958.91
209,Fundraising,private donations,month,0 <= X,2021,6,2021-06-01,664222.26
210,Fundraising,private donations,month,0 <= X,2021,7,2021-07-01,819670.29
211,Fundraising,private donations,month,0 <= X,2021,8,2021-08-01,471050.09
212,Fundraising,private donations,month,0 <= X,2021,9,2021-09-01,509513.36
213,Fundraising,private donations,month,0 <= X,2021,10,2021-10-01,592703.7
214,Fundraising,private donations,month,0 <= X,2021,11,2021-11-01,899432.48
215,Fundraising,private donations,month,0 <= X,2021,12,2021-12-01,1708639.55
216,Fundraising,private donations,month,0 <= X,2022,1,2022-01-01,611312.15
217,Fundraising,private donations,month,0 <= X,2022,2,2022-02-01,269239.44
218,Fundraising,private donations,month,0 <= X,2022,3,2022-03-01,621173.75
219,Fundraising,private donations,month,0 <= X,2022,4,2022-04-01,1072485.61
220,Fundraising,private donations,month,0 <= X,2022,5,2022-05-01,536893.87
221,Fundraising,private donations,month,0 <= X,2022,6,2022-06-01,932942.78
222,Fundraising,private donations,month,0 <= X,2022,7,2022-07-01,775104.16
223,Fundraising,private donations,month,0 <= X,2022,8,2022-08-01,985432.32
224,Fundraising,private donations,month,0 <= X,2022,9,2022-09-01,632041.47
225,Fundraising,private donations,month,0 <= X,2022,10,2022-10-01,564243.62
226,Fundraising,private donations,month,0 <= X,2022,11,2022-11-01,1246403.55
227,Fundraising,private donations,month,0 <= X,2022,12,2022-12-01,1582084.51
228,Fundraising,private donations,month,0 <= X,2023,1,2023-01-01,1369218.0
229,Fundraising,private donations,month,0 <= X,2023,2,2023-02-01,2144446.0
230,Fundraising,private donations,month,0 <= X,2023,3,2023-03-01,1923875.0
231,Fundraising,private donations,month,0 <= X,2023,4,2023-04-01,1274911.0
232,Fundraising,private donations,month,0 <= X,2023,5,2023-05-01,1797114.0
233,Fundraising,private donations,month,0 <= X,2023,6,2023-06-01,1352463.0
234,Fundraising,private donations,month,0 <= X,2023,7,2023-07-01,1359887.0
235,Fundraising,private donations,month,0 <= X,2023,8,2023-08-01,1101047.0
236,Fundraising,private donations,month,0 <= X,2023,9,2023-09-01,1540370.12
237,Fundraising,private donations,month,0 <= X,2023,10,2023-10-01,1101047.0
238,Fundraising,private donations,month,0 <= X,2023,11,2023-11-01,1540370.12
239,Fundraising,private donations,month,0 <= X,2023,12,2023-12-01,1352463.0
240,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2014,1,2014-01-01,
241,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2014,2,2014-02-01,
242,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2014,3,2014-03-01,1.1737419296916134
243,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2014,4,2014-04-01,1.1796528283999477
244,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2014,5,2014-05-01,1.1282197340791669
245,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2014,6,2014-06-01,1.3146044913291077
246,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2014,7,2014-07-01,1.1456420741596152
247,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2014,8,2014-08-01,0.9625697589760076
248,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2014,9,2014-09-01,1.0470657335478188
249,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2014,10,2014-10-01,1.1435413898410731
250,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2014,11,2014-11-01,1.0252836157048208
251,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2014,12,2014-12-01,1.1001441790192559
252,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2015,1,2015-01-01,1.2558648114127844
253,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2015,2,2015-02-01,1.0080928393345623
254,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2015,3,2015-03-01,0.8040619772835746
255,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2015,4,2015-04-01,0.8468679011721264
256,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2015,5,2015-05-01,0.9367796565393874
257,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2015,6,2015-06-01,0.9003813989529211
258,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2015,7,2015-07-01,1.1374666633462485
259,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2015,8,2015-08-01,1.1917709024864513
260,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2015,9,2015-09-01,1.0536938895200074
261,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2015,10,2015-10-01,1.1072089641181158
262,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2015,11,2015-11-01,1.1792845991116951
263,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2015,12,2015-12-01,1.2214799638337335
264,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2016,1,2016-01-01,1.1234708686677268
265,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2016,2,2016-02-01,1.2833937118657117
266,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2016,3,2016-03-01,1.1837441726865627
267,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2016,4,2016-04-01,1.0551635725769373
268,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2016,5,2016-05-01,1.0501481621482007
269,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2016,6,2016-06-01,1.2453870206609507
270,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2016,7,2016-07-01,1.2967992450397532
271,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2016,8,2016-08-01,1.393639379093191
272,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2016,9,2016-09-01,1.48350614147096
273,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2016,10,2016-10-01,1.4804140032415476
274,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2016,11,2016-11-01,1.3191360629990458
275,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2016,12,2016-12-01,1.2200504782522994
276,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2017,1,2017-01-01,0.9775659294138114
277,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2017,2,2017-02-01,0.8009145510240161
278,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2017,3,2017-03-01,0.7864995254279148
279,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2017,4,2017-04-01,0.703862123132305
280,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2017,5,2017-05-01,0.7082244640638871
281,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2017,6,2017-06-01,0.7303566964473946
282,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2017,7,2017-07-01,0.8969684038026772
283,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2017,8,2017-08-01,1.0025753517164002
284,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2017,9,2017-09-01,1.3283988402908844
285,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2017,10,2017-10-01,1.4825227430795989
286,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2017,11,2017-11-01,1.4523783922534628
287,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2017,12,2017-12-01,1.4277743805817196
288,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2018,1,2018-01-01,1.3432682294999492
289,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2018,2,2018-02-01,1.3778078182417957
290,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2018,3,2018-03-01,1.316380192093994
291,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2018,4,2018-04-01,1.4668371318352622
292,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2018,5,2018-05-01,1.5879304697508236
293,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2018,6,2018-06-01,1.461959885567742
294,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2018,7,2018-07-01,1.3244889927039862
295,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2018,8,2018-08-01,1.413104398429727
296,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2018,9,2018-09-01,1.5902033826157456
297,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2018,10,2018-10-01,1.4790699209537177
298,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2018,11,2018-11-01,1.5937289034107347
299,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2018,12,2018-12-01,1.6586663227960858
300,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2019,1,2019-01-01,1.615651403269767
301,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2019,2,2019-02-01,1.4815248929449027
302,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2019,3,2019-03-01,1.5438277580332183
303,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2019,4,2019-04-01,1.5236872429601616
304,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2019,5,2019-05-01,1.5282135670019041
305,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2019,6,2019-06-01,1.2511127570443152
306,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2019,7,2019-07-01,1.3023507195668849
307,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2019,8,2019-08-01,1.2820534229780824
308,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2019,9,2019-09-01,1.3575840643703243
309,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2019,10,2019-10-01,1.4897876005653856
310,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2019,11,2019-11-01,1.6990015600402593
311,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2019,12,2019-12-01,1.5599362702830484
312,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2020,1,2020-01-01,1.4747274369701862
313,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2020,2,2020-02-01,1.4585961294411682
314,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2020,3,2020-03-01,1.2461693642830292
315,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2020,4,2020-04-01,1.0807450809783332
316,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2020,5,2020-05-01,0.8994397408714576
317,HR,involuntary headcount change (FTE),month,0 <= % <= 100,2020,6,2020-06-01,1.0634325907668143
